ObjectId	Longitude	Latitude	Name	Address_1	Address_2	City	State	Zip	9	10	11	County	Type		
	-81.581462	30.308103	SILVER SMITH APTS	7211 CRANE AVE		JACKSONVILLE	FL	32216				Duval	APARTMENT		
	-81.737057	30.213804	PLANTERS WALK APARTMENTS	7350 BLANDING BLVD		JACKSONVILLE	FL	32244				Duval	APARTMENT		
	-81.583378	30.287979	MADISON MANOR	7400 HOGAN RD		JACKSONVILLE	FL	32216				Duval	APARTMENT		
	-81.621829	30.26324	HERON WALK APTS	7400 POWERS AVE		JACKSONVILLE	FL	32217				Duval	APARTMENT		
	-81.67844	30.317426	RIVERSIDE PARK APARTMENTS	750 OAK ST		JACKSONVILLE	FL	32204				Duval	APARTMENT		
	-81.582177	30.288958	MAGNOLIA POINT APARTMENTS	7507 BEACH BLVD		JACKSONVILLE	FL	32216				Duval	APARTMENT		
	-81.738175	30.209833	GRAND COURT BLANDING APTS	7610 BLANDING BLVD		JACKSONVILLE	FL	32244				Duval	APARTMENT		
	-81.563007	30.35231	ARIUM ST JOHNS APTS	7925 MERRILL RD		JACKSONVILLE	FL	32277				Duval	APARTMENT		
	-81.665339	30.341801	SENIOR CITIZEN VILLAGE	801 W 4TH ST		JACKSONVILLE	FL	32209				Duval	APARTMENT		
	-81.552352	30.224443	AUBURN GLEN APTS	8024 SOUTHSIDE BLVD		JACKSONVILLE	FL	32256				Duval	APARTMENT		
	-81.572467	30.313791	MATTHEWS CROSSING APARTMENTS	8090 ATLANTIC BLVD		JACKSONVILLE	FL	32211				Duval	APARTMENT		
	-81.57148	30.322767	OAKWOOD VILLA	8201 KONA AVE		JACKSONVILLE	FL	32211				Duval	APARTMENT		
	-81.560584	30.22051	PRINCETON SQUARE APTS	8231 PRINCETON SQUARE BLVD		JACKSONVILLE	FL	32256				Duval	APARTMENT		
	-81.598801	30.326279	CIMARRON APTS	830 ARLINGTON RIVER DR		JACKSONVILLE	FL	32211				Duval	APARTMENT		
