OBJECTID,LONGITUDE,LATITUDE,POI_NAME,Address_1,Address_2,CITY,STATE,ZIP,RESERVED_1,RESERVED_2,RESERVED_3,COUNTY,POI_TYPE
1073,33.80980460066678,-84.39319131086455,Shepherd Center - ProMotion Fitness Center,"2020 Peachtree Road, N.W.",,Atlanta,GA,30309,,,,,
1074,33.88557970960471,-84.51592389521727,Smyrna Parks and Recreation,200 Village Green Circle,,Smyrna,GA,30081,,,,,
1075,33.383979821571415,-84.57105771485448,The Gathering Place,203 McIntosh Trail,,Peachtree City,GA,30269,,,,,
1076,33.94120146726186,-84.3391202832176,The Fitness Center at Dunwwody Baptist Church,"Dunwoody Baptist Church
1445 Mt. Vernon Road",,Atlanta,GA,30338,,,,,
1077,33.96968578215461,-84.55301951090007,WellStar Health Place,330 Kennestone Hospital Boulevard,,Marietta,GA,30060,,,,,
1078,33.88110656896691,-84.52800972239226,Wolfe Adult Recreation Center,884 Church Street,,Smyrna,GA,30080,,,,,
1079,33.83321594081457,-84.42498062320243,YMCA Buckhead - Carl E Sanders,1160 Moores Mill Road NW,,Atlanta,GA,30327,,,,,
1080,33.89919241408978,-84.33158053925172,YMCA Cowart Family Ashford Dunwoody YMCA,3692 Ashford Dunwoody Road NE,,Atlanta,GA,30319,,,,,
1081,33.78669586594833,-84.30647402961671,YMCA Decatur-Dekalb Family Branch,1100 Clairmont Avenue,,Decatur,GA,30030,,,,,
1082,33.7451305981063,-84.31428541217537,YMCA East Lake Branch,275 East Lake Boulevard SE,,Atlanta,GA,30317,,,,,
1083,34.070193118478585,-84.25231568203242,"YMCA Ed Isakson, Alpharetta Family YMCA",3655 Preston Ridge Road,,Alpharetta,GA,30005,,,,,
1084,33.97809462886511,-84.48017238867334,YMCA of Cobb County - Mc Clesky Center,1055 East Piedmont Road,,Marietta,GA,30062,,,,,
1085,33.705329073581595,-84.21610437497998,YMCA South Dekalb Family Branch,2565 Snapfinger Road,,Decatur,GA,30034,,,,,
